winner_id,tourney_id,match_won
204430,2016-0405,2
201590,2016-0405,2
201679,2016-0405,2
201478,2016-0405,2
201597,2016-0405,2
204291,2016-0405,1
202663,2016-0405,1
211351,2016-0405,1
206107,2016-0405,1
206077,2016-0405,1
215550,2016-0405,1
205925,2016-0405,1
201596,2016-0405,1
211768,2016-0405,1
201709,2016-0405,1
201703,2016-0405,1
211635,2016-0405,1
202422,2016-0405,1
200002,2016-0406,6
201614,2016-0406,5
200043,2016-0406,4
201485,2016-0406,4
201540,2016-0406,3
213525,2016-0406,3
201455,2016-0406,2
202430,2016-0406,2
201426,2016-0406,2
201703,2016-0406,2
201616,2016-0406,2
201325,2016-0406,2
201693,2016-0406,1
201610,2016-0406,1
201585,2016-0406,1
202640,2016-0406,1
203281,2016-0406,1
201435,2016-0406,1
206374,2016-0406,1
201620,2016-0406,1
201590,2016-0406,1
201603,2016-0406,1
201444,2016-0406,1
203576,2016-0406,1
103917,2016-0407,5
105373,2016-0407,5
104792,2016-0407,4
104471,2016-0407,3
104259,2016-0407,3
105208,2016-0407,2
104678,2016-0407,2
105227,2016-0407,2
105138,2016-0407,2
105723,2016-0407,2
100644,2016-0407,2
105526,2016-0407,1
104327,2016-0407,1
105539,2016-0407,1
106210,2016-0407,1
104571,2016-0407,1
111202,2016-0407,1
104871,2016-0407,1
104180,2016-0407,1
104468,2016-0407,1
106298,2016-0407,1
106432,2016-0407,1
104745,2016-0410,5
104792,2016-0410,5
106000,2016-0410,4
104719,2016-0410,3
104542,2016-0410,3
106121,2016-0410,3
105683,2016-0410,3
104918,2016-0410,3
105732,2016-0410,3
106298,2016-0410,2
104468,2016-0410,2
105676,2016-0410,2
104593,2016-0410,2
105936,2016-0410,2
105332,2016-0410,2
106233,2016-0410,2
104527,2016-0410,2
106210,2016-0410,2
105526,2016-0410,2
103819,2016-0410,2
103565,2016-0410,2
105138,2016-0410,2
104198,2016-0410,1
104269,2016-0410,1
104259,2016-0410,1
104112,2016-0410,1
104755,2016-0410,1
105311,2016-0410,1
105807,2016-0410,1
105714,2016-0410,1
104655,2016-0410,1
105053,2016-0410,1
105341,2016-0410,1
103893,2016-0410,1
100644,2016-0410,1
105487,2016-0410,1
104022,2016-0410,1
105379,2016-0410,1
105777,2016-0410,1
104871,2016-0410,1
105373,2016-0414,5
104655,2016-0414,4
106421,2016-0414,3
105952,2016-0414,3
103565,2016-0414,3
106329,2016-0414,3
105596,2016-0414,2
104593,2016-0414,2
103908,2016-0414,2
104259,2016-0414,2
105731,2016-0414,2
104198,2016-0414,2
144923,2016-0414,1
105438,2016-0414,1
109054,2016-0414,1
105649,2016-0414,1
104597,2016-0414,1
104216,2016-0414,1
104813,2016-0414,1
104970,2016-0414,1
106044,2016-0414,1
103902,2016-0414,1
104925,2016-0421,5
103285,2016-0421,4
104792,2016-0421,4
111577,2016-0421,4
105453,2016-0421,4
105992,2016-0421,4
104731,2016-0421,3
104527,2016-0421,3
